,n_estimators,random_state,criterion,n_jobs,max_depth,avg_score,score_std
0,500.0,0.0,entropy,-1.0,3.0,0.16761870277,0.0260802913947
1,500.0,0.0,entropy,-1.0,4.0,0.167612842685,0.00346667619978
2,500.0,0.0,entropy,-1.0,5.0,0.164814384243,0.0112941890003
3,500.0,0.0,entropy,-1.0,6.0,0.174635359172,0.010957577511
4,500.0,0.0,entropy,-1.0,7.0,0.169020862033,0.00534561391796
5,1000.0,0.0,entropy,-1.0,3.0,0.167653863278,0.0243960977087
6,1000.0,0.0,entropy,-1.0,4.0,0.168979841441,0.0220785914554
7,1000.0,0.0,entropy,-1.0,5.0,0.164843684666,0.0244816028025
8,1000.0,0.0,entropy,-1.0,6.0,0.167612842685,0.00346667619978
9,1000.0,0.0,entropy,-1.0,7.0,0.170417161212,0.0142616317459
10,1500.0,0.0,entropy,-1.0,3.0,0.170417161212,0.00499674658576
11,1500.0,0.0,entropy,-1.0,4.0,0.16774646601,0.0105198498393
12,1500.0,0.0,entropy,-1.0,5.0,0.170417161212,0.0176195952912
13,1500.0,0.0,entropy,-1.0,6.0,0.166187243083,0.0259741428937
14,1500.0,0.0,entropy,-1.0,7.0,0.166216543506,0.007414838817
15,2000.0,0.0,entropy,-1.0,3.0,0.16623412376,0.0142475760026
16,2000.0,0.0,entropy,-1.0,4.0,0.170417161212,0.0142616317459
17,2000.0,0.0,entropy,-1.0,5.0,0.166193103168,0.0108598600878
18,2000.0,0.0,entropy,-1.0,6.0,0.170434741466,0.0101315541797
19,2000.0,0.0,entropy,-1.0,7.0,0.16906774271,0.025700606338
20,2500.0,0.0,entropy,-1.0,3.0,0.166216543506,0.007414838817
21,2500.0,0.0,entropy,-1.0,4.0,0.166210683422,0.00416405225602
22,2500.0,0.0,entropy,-1.0,5.0,0.169020862033,0.00218754802112
23,2500.0,0.0,entropy,-1.0,6.0,0.170393720874,0.015529863347
24,2500.0,0.0,entropy,-1.0,7.0,0.166175522914,0.015916319923
