,feature,fscore,norm_fscore
0,L0_S11_F298,2,8.77909171517e-06
1,L3_S40_F3984,2,8.77909171517e-06
2,L0_S10_F269,3,1.31686375728e-05
3,L3_S40_D3981,4,1.75581834303e-05
4,L0_S10_F234,5,2.19477292879e-05
5,L0_S2_F56,7,3.07268210031e-05
6,L3_S47_D4140,8,3.51163668607e-05
7,L2_S26_D3037,9,3.95059127183e-05
8,L0_S9_D152,9,3.95059127183e-05
9,L0_S23_F619,10,4.38954585759e-05
10,L3_S41_D3997,12,5.2674550291e-05
11,L3_S44_F4112,15,6.58431878638e-05
12,L3_S44_F4118,16,7.02327337214e-05
13,L3_S29_F3482,16,7.02327337214e-05
14,L0_S11_D280,16,7.02327337214e-05
15,L0_S10_D221,16,7.02327337214e-05
16,L3_S33_F3871,20,8.77909171517e-05
17,L3_S47_F4158,22,9.65700088669e-05
18,L2_S26_F3077,25,0.00010973864644
19,L3_S51_F4260,26,0.000114128192297
20,L0_S10_D216,26,0.000114128192297
21,L3_S41_F4018,28,0.000122907284012
22,L3_S34_F3880,30,0.000131686375728
23,L3_S31_F3846,31,0.000136075921585
24,L0_S9_F175,33,0.0001448550133
25,L3_S45_D4125,35,0.000153634105015
26,L2_S28_F3255,35,0.000153634105015
27,L0_S10_F229,35,0.000153634105015
28,L3_S33_F3869,44,0.000193140017734
29,L3_S48_F4202,45,0.000197529563591
30,L0_S10_F274,45,0.000197529563591
31,L3_S36_F3918,47,0.000206308655307
32,L2_S26_F3062,48,0.000210698201164
33,L2_S26_F3069,49,0.000215087747022
34,L0_S23_F659,49,0.000215087747022
35,L3_S37_F3950,51,0.000223866838737
36,L3_S30_F3724,53,0.000232645930452
37,L2_S28_F3222,54,0.00023703547631
38,L0_S10_F244,58,0.00025459365974
39,L3_S40_F3986,58,0.00025459365974
40,L3_S41_F4006,64,0.000280930934885
41,L3_S41_F4011,66,0.000289710026601
42,L0_S9_F200,69,0.000302878664173
43,L3_S35_F3894,72,0.000316047301746
44,L3_S30_F3499,73,0.000320436847604
45,L0_S2_F32,74,0.000324826393461
46,L2_S26_F3036,79,0.000346774122749
47,L3_S43_F4060,81,0.000355553214464
48,L3_S51_F4258,87,0.00038189048961
